,precision,recall,f1-score,support
0,0.8379045131330721,0.9229539641943734,0.8783752947440481,6256.0
1,0.9609332609875203,0.9994356659142212,0.9798063623789764,3544.0
2,0.9994114184814596,1.0,0.9997056226081837,3396.0
3,0.3514188422247446,0.589041095890411,0.4402104365135789,2628.0
4,0.4180020456870099,0.4661596958174905,0.44076936904547903,2630.0
5,0.2689075630252101,0.25776754890678943,0.2632197414806111,2607.0
6,0.21418701059419623,0.18393987341772153,0.1979144498829538,2528.0
7,0.696068012752391,0.7847444089456869,0.7377510794067955,2504.0
8,0.4605018587360595,0.4010522055847835,0.42872593553969285,2471.0
9,0.7189213893967094,0.6022205206738132,0.6554166666666668,2612.0
10,0.8481790258885477,0.7803794913201454,0.8128679562657696,2477.0
11,0.2754954084098598,0.2286401925391095,0.24989039894782994,2493.0
12,0.23176761433868975,0.14946193702670388,0.18173007026896054,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6153826543619029,0.6153826543619029,0.6153826543619029,0.6153826543619029
macro avg,0.5521131975770314,0.5136906975439733,0.5182240085290395,39226.0
weighted avg,0.6056134114112095,0.6153826543619029,0.6051852787941908,39226.0
