,precision,recall,f1-score,support
0,0.9571109967404358,0.8917838874680307,0.9232933388498139,6256.0
1,0.9609544468546638,1.0,0.9800884955752213,3544.0
2,0.9997054491899853,0.9994110718492344,0.9995582388455309,3396.0
3,0.6004056795131846,0.4505327245053272,0.5147826086956521,2628.0
4,0.4423756019261637,0.5239543726235741,0.47972149695387295,2630.0
5,0.20137729549248748,0.7403145377828922,0.3166270199327373,2607.0
6,0.7225130890052356,0.10917721518987342,0.18969072164948453,2528.0
7,0.8079847908745247,0.6789137380191693,0.7378472222222222,2504.0
8,0.5917456776352482,0.4293808174828005,0.49765478424015014,2471.0
9,0.6084247997626817,0.7852220520673813,0.685609226140732,2612.0
10,0.9336470588235294,0.8009689140088817,0.8622338113863538,2477.0
11,0.8218527315914489,0.13878860810268753,0.23747426218256693,2493.0
12,0.2922272047832586,0.15583897967317656,0.2032752794385235,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6354713710294193,0.6354713710294193,0.6354713710294193,0.6354713710294193
macro avg,0.6626883214795232,0.5362567187800918,0.5423222166865939,39226.0
weighted avg,0.7232817534803978,0.6354713710294193,0.6330540194161883,39226.0
