,precision,recall,f1-score,support
0,0.8073846153846154,0.8388746803069054,0.8228284728755096,6256.0
1,0.9606234618539786,0.9912528216704289,0.9756978197472574,3544.0
2,0.9994049390062482,0.9891048292108363,0.9942282077845198,3396.0
3,0.36968576709796674,0.076103500761035,0.12622278321236982,2628.0
4,0.36327185244587007,0.5167300380228137,0.4266206247056977,2630.0
5,0.2628398791540785,0.0667433831990794,0.10645457326399509,2607.0
6,0.0,0.0,0.0,2528.0
7,0.6237099023709902,0.8929712460063898,0.7344391525702086,2504.0
8,0.3825902335456476,0.36462970457304733,0.373394115209283,2471.0
9,0.6035353535353535,0.5490045941807045,0.5749799518845228,2612.0
10,0.8170731707317073,0.7844166330238191,0.8004119464469618,2477.0
11,0.17289073305670816,0.15042117930204574,0.16087516087516088,2493.0
12,0.1577258726899384,0.4898365882821841,0.23861760994078246,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.562891959414674,0.562891959414674,0.562891959414674,0.562891959414674
macro avg,0.5013823853915402,0.4699768707645093,0.45611647751348783,39226.0
weighted avg,0.5536331787691101,0.562891959414674,0.5384641105277974,39226.0
